Department,EducationField,JobRole,BusinessTravel,MaritalStatus,Employee Source,HourlyRate,DailyRate,MonthlyRate,MonthlyIncome,StockOptionLevel,Age,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Education,JobLevel,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,TrainingTimesLastYear,Gender,DistanceFromHome,Company Website,LoyaltyFactor,TotalEarnInCompany,JobMatchFactor,SatisfactionCounts,Attrition
Sales,Life Sciences,Sales Executive,Travel_Frequently,Single,Seek,57,667,13430,6230,0,31,16,14,3,1,10,4,2,4,0,14,3,2,4,4,3,3,3,0,1,0,0.875,1121400,1,13,1
Sales,Medical,Sales Executive,Non-Travel,Single,Seek,56,267,13430,6230,0,41,16,14,3,1,10,2,2,6,0,14,4,4,4,4,3,3,3,0,10,0,0.875,1121400,1,15,0
Sales,Life Sciences,Sales Executive,Travel_Frequently,Single,Seek,57,667,13430,6230,0,31,16,14,3,1,10,4,2,7,0,14,3,2,4,4,3,3,3,0,1,0,0.875,1121400,1,13,1
Sales,Life Sciences,Sales Executive,Travel_Frequently,Single,Seek,57,667,13430,6230,0,31,16,14,3,1,10,4,2,4,0,14,3,2,4,4,3,3,3,0,1,0,0.875,1121400,1,13,1
Sales,Life Sciences,Sales Executive,Non-Travel,Single,Seek,56,267,13430,6230,0,41,16,14,3,1,10,2,2,7,0,14,3,4,4,4,3,3,3,0,10,0,0.875,1121400,1,15,0
Sales,Medical,Sales Executive,Non-Travel,Single,Seek,56,267,13430,6230,0,41,16,14,3,1,10,2,2,6,0,14,3,4,4,4,3,3,3,0,10,0,0.875,1121400,1,15,0
Sales,Marketing,Sales Executive,Travel_Rarely,Married,Jora,85,619,18659,4717,0,35,15,11,9,6,9,3,2,9,0,11,3,2,3,3,3,3,2,0,1,0,0.7333,679248,0,11,0
Research & Development,Life Sciences,Sales Executive,Travel_Rarely,Married,Jora,57,182,18659,4717,0,31,15,11,9,6,9,5,2,9,0,11,3,2,3,3,3,3,2,0,8,0,0.7333,679248,1,11,0
Sales,Life Sciences,Sales Executive,Travel_Rarely,Married,Jora,85,619,18659,4717,0,35,15,11,9,6,9,3,2,4,0,11,3,2,3,3,3,3,2,0,1,0,0.7333,679248,1,11,0
Research & Development,Medical,Sales Executive,Travel_Rarely,Married,Jora,57,182,18659,4717,0,31,15,11,9,6,9,5,2,6,0,11,3,2,3,3,3,3,2,0,8,0,0.7333,679248,1,11,0
Research & Development,Life Sciences,Sales Executive,Travel_Rarely,Married,Jora,57,182,18659,4717,0,31,15,11,9,6,9,5,2,9,0,11,3,2,3,3,3,3,2,0,8,0,0.7333,679248,1,11,0
Research & Development,Medical,Sales Executive,Travel_Rarely,Married,Jora,57,182,18659,4717,0,31,15,11,9,6,9,5,2,6,0,11,3,2,3,3,3,3,2,0,8,0,0.7333,679248,1,11,0
Sales,Marketing,Sales Executive,Travel_Rarely,Married,Jora,85,619,18659,4717,0,35,15,11,9,6,9,3,2,9,0,11,3,2,3,3,3,3,2,0,1,0,0.7333,679248,0,11,0
Sales,Life Sciences,Sales Executive,Travel_Rarely,Married,Jora,85,619,18659,4717,0,35,15,11,9,6,9,3,2,4,0,11,3,2,3,3,3,3,2,0,1,0,0.7333,679248,1,11,0
Sales,Marketing,Sales Executive,Travel_Rarely,Married,Jora,85,619,18659,4717,0,35,15,11,9,6,9,3,2,9,0,11,3,2,3,3,3,3,2,0,1,0,0.7333,679248,0,11,0
Research & Development,Life Sciences,Sales Executive,Travel_Rarely,Married,Jora,57,182,18659,4717,0,31,15,11,9,6,9,5,2,9,0,11,3,2,3,3,3,3,2,0,8,0,0.7333,679248,1,11,0
Sales,Life Sciences,Sales Executive,Travel_Rarely,Married,Jora,85,619,18659,4717,0,35,15,11,9,6,9,3,2,4,0,11,3,2,3,3,3,3,2,0,1,0,0.7333,679248,1,11,0
Research & Development,Medical,Sales Executive,Travel_Rarely,Married,Jora,57,182,18659,4717,0,31,15,11,9,6,9,5,2,6,0,11,3,2,3,3,3,3,2,0,8,0,0.7333,679248,1,11,0
Research & Development,Life Sciences,Sales Executive,Travel_Rarely,Married,Jora,57,182,18659,4717,0,31,15,11,9,6,9,5,2,9,0,11,3,2,3,3,3,3,2,0,8,0,0.7333,679248,1,11,0
Research & Development,Medical,Sales Executive,Travel_Rarely,Married,Jora,57,182,18659,4717,0,31,15,11,9,6,9,5,2,6,0,11,3,2,3,3,3,3,2,0,8,0,0.7333,679248,1,11,0
Sales,Marketing,Sales Executive,Travel_Rarely,Married,Jora,85,619,18659,4717,0,35,15,11,9,6,9,3,2,9,0,11,3,2,3,3,3,3,2,0,1,0,0.7333,679248,0,11,0
Sales,Life Sciences,Sales Executive,Travel_Rarely,Married,Jora,85,619,18659,4717,0,35,15,11,9,6,9,3,2,4,0,11,3,2,3,3,3,3,2,0,1,0,0.7333,679248,1,11,0
Research & Development,Life Sciences,Manufacturing Director,Travel_Rarely,Single,Company Website,75,302,20364,13237,0,40,22,20,6,5,13,3,4,7,0,15,3,2,3,3,3,3,3,1,6,1,0.9091,3335724,0,11,0
Research & Development,Marketing,Manufacturing Director,Travel_Rarely,Single,Company Website,75,302,20364,13237,0,40,22,20,6,5,13,3,4,1,0,15,4,2,3,3,3,3,3,1,6,1,0.9091,3335724,0,11,0
Research & Development,Medical,Manufacturing Director,Travel_Rarely,Single,Company Website,57,202,20364,13237,0,31,22,20,6,5,13,3,4,1,0,15,3,2,3,3,3,3,3,1,8,1,0.9091,3335724,0,11,1
Research & Development,Life Sciences,Manufacturing Director,Travel_Rarely,Single,Company Website,57,202,20364,13237,0,31,22,20,6,5,13,3,4,7,0,15,3,2,3,3,3,3,3,1,8,1,0.9091,3335724,0,11,1
Research & Development,Medical,Manufacturing Director,Travel_Rarely,Single,Company Website,57,202,20364,13237,0,31,22,20,6,5,13,3,4,1,0,15,3,2,3,3,3,3,3,1,8,1,0.9091,3335724,0,11,1
Research & Development,Life Sciences,Manufacturing Director,Travel_Rarely,Single,Company Website,75,302,20364,13237,0,40,22,20,6,5,13,3,4,7,0,15,3,2,3,3,3,3,3,1,6,1,0.9091,3335724,0,11,0
Research & Development,Marketing,Manufacturing Director,Travel_Rarely,Single,Company Website,75,302,20364,13237,0,40,22,20,6,5,13,3,4,1,0,15,3,2,3,3,3,3,3,1,6,1,0.9091,3335724,0,11,0
Research & Development,Life Sciences,Manufacturing Director,Travel_Rarely,Single,Company Website,75,302,20364,13237,0,40,22,20,6,5,13,3,4,7,0,15,3,2,3,3,3,3,3,1,6,1,0.9091,3335724,0,11,0
Research & Development,Life Sciences,Manufacturing Director,Travel_Rarely,Single,Company Website,57,202,20364,13237,0,31,22,20,6,5,13,3,4,7,0,15,3,2,3,3,3,3,3,1,8,1,0.9091,3335724,0,11,1
Research & Development,Marketing,Manufacturing Director,Travel_Rarely,Single,Company Website,75,302,20364,13237,0,40,22,20,6,5,13,3,4,1,0,15,4,2,3,3,3,3,3,1,6,1,0.9091,3335724,0,11,0
Research & Development,Medical,Manufacturing Director,Travel_Rarely,Single,Company Website,57,202,20364,13237,0,31,22,20,6,5,13,3,4,1,0,15,3,2,3,3,3,3,3,1,8,1,0.9091,3335724,0,11,1
Research & Development,Life Sciences,Manufacturing Director,Travel_Rarely,Single,Company Website,57,202,20364,13237,0,31,22,20,6,5,13,3,4,7,0,15,3,2,3,3,3,3,3,1,8,1,0.9091,3335724,0,11,1
Research & Development,Medical,Manufacturing Director,Travel_Rarely,Single,Company Website,57,202,20364,13237,0,31,22,20,6,5,13,3,4,1,0,15,3,2,3,3,3,3,3,1,8,1,0.9091,3335724,0,11,1
Research & Development,Life Sciences,Manufacturing Director,Travel_Rarely,Single,Company Website,75,302,20364,13237,0,40,22,20,6,5,13,3,4,7,0,15,3,2,3,3,3,3,3,1,6,1,0.9091,3335724,0,11,0
Research & Development,Marketing,Manufacturing Director,Travel_Rarely,Single,Company Website,75,302,20364,13237,0,40,22,20,6,5,13,3,4,1,0,15,3,2,3,3,3,3,3,1,6,1,0.9091,3335724,0,11,0
Research & Development,Life Sciences,Laboratory Technician,Travel_Frequently,Married,Company Website,48,443,17872,3755,1,39,8,8,3,0,7,1,1,1,0,11,3,3,3,1,3,3,3,1,8,1,1,425817,0,10,0
Research & Development,Life Sciences,Laboratory Technician,Travel_Rarely,Married,Company Website,57,1377,17872,3755,1,27,8,8,3,0,7,1,1,1,0,11,3,2,3,1,3,3,3,1,11,1,1,425817,0,9,0
Research & Development,Marketing,Laboratory Technician,Travel_Frequently,Married,Company Website,48,443,17872,3755,1,39,8,8,3,0,7,1,1,1,0,11,4,3,3,1,3,3,3,1,8,1,1,425817,1,10,0
Research & Development,Medical,Laboratory Technician,Travel_Rarely,Married,Company Website,57,1377,17872,3755,1,27,8,8,3,0,7,1,1,1,0,11,3,2,3,1,3,3,3,1,11,1,1,425817,0,9,0
Research & Development,Life Sciences,Laboratory Technician,Travel_Rarely,Married,Recruit.net,57,1377,17872,3755,1,27,8,8,3,0,7,1,1,1,0,11,3,2,3,1,3,3,3,1,11,0,1,425817,0,9,0
Research & Development,Medical,Laboratory Technician,Travel_Rarely,Married,Company Website,57,1377,17872,3755,1,27,8,8,3,0,7,1,1,1,0,11,3,2,3,1,3,3,3,1,11,1,1,425817,0,9,0
Research & Development,Life Sciences,Laboratory Technician,Travel_Frequently,Married,Company Website,48,443,17872,3755,1,39,8,8,3,0,7,1,1,1,0,11,3,3,3,1,3,3,3,1,8,1,1,425817,0,10,0
Research & Development,Marketing,Laboratory Technician,Travel_Frequently,Married,Company Website,48,443,17872,3755,1,39,8,8,3,0,7,1,1,1,0,11,3,3,3,1,3,3,3,1,8,1,1,425817,1,10,0
Research & Development,Life Sciences,Laboratory Technician,Travel_Frequently,Married,Company Website,48,443,17872,3755,1,39,8,8,3,0,7,1,1,1,0,11,3,3,3,1,3,3,3,1,8,1,1,425817,0,10,0
Research & Development,Life Sciences,Laboratory Technician,Travel_Rarely,Married,Company Website,57,1377,17872,3755,1,27,8,8,3,0,7,1,1,1,0,11,3,2,3,1,3,3,3,1,11,1,1,425817,0,9,0
Research & Development,Marketing,Laboratory Technician,Travel_Frequently,Married,Company Website,48,443,17872,3755,1,39,8,8,3,0,7,1,1,1,0,11,4,3,3,1,3,3,3,1,8,1,1,425817,1,10,0
Research & Development,Medical,Laboratory Technician,Travel_Rarely,Married,Company Website,57,1377,17872,3755,1,27,8,8,3,0,7,1,1,1,0,11,3,2,3,1,3,3,3,1,11,1,1,425817,0,9,0
Research & Development,Life Sciences,Laboratory Technician,Travel_Rarely,Married,Recruit.net,57,1377,17872,3755,1,27,8,8,3,0,7,1,1,1,0,11,3,2,3,1,3,3,3,1,11,0,1,425817,0,9,0
Research & Development,Medical,Laboratory Technician,Travel_Rarely,Married,Company Website,57,1377,17872,3755,1,27,8,8,3,0,7,1,1,1,0,11,3,2,3,1,3,3,3,1,11,1,1,425817,0,9,0
Research & Development,Life Sciences,Laboratory Technician,Travel_Frequently,Married,Company Website,48,443,17872,3755,1,39,8,8,3,0,7,1,1,1,0,11,3,3,3,1,3,3,3,1,8,1,1,425817,0,10,0
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Company Website,77,828,8346,6582,0,31,10,6,5,0,5,1,2,4,1,13,3,2,4,3,4,3,2,0,2,1,0.6,552888,1,13,0
Research & Development,Life Sciences,Sales Executive,Travel_Rarely,Single,Company Website,57,172,8346,6582,0,36,10,6,5,0,5,4,2,4,1,13,3,2,4,3,4,3,2,0,4,1,0.6,552888,1,13,0
Research & Development,Life Sciences,Sales Executive,Travel_Rarely,Single,Company Website,57,172,8346,6582,0,36,10,6,5,0,5,4,2,5,1,13,3,2,4,3,4,3,2,0,4,1,0.6,552888,1,13,0
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Company Website,77,828,8346,6582,0,31,10,6,5,0,5,1,2,4,1,13,3,2,4,3,4,3,2,0,2,1,0.6,552888,1,13,0
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Company Website,77,828,8346,6582,0,31,10,6,5,0,5,1,2,4,1,13,3,2,4,3,4,3,2,0,2,1,0.6,552888,1,13,0
Research & Development,Life Sciences,Sales Executive,Travel_Rarely,Single,Company Website,57,172,8346,6582,0,36,10,6,5,0,5,4,2,4,1,13,3,2,4,3,4,3,2,0,4,1,0.6,552888,1,13,0
Research & Development,Life Sciences,Sales Executive,Travel_Rarely,Single,Company Website,57,172,8346,6582,0,36,10,6,5,0,5,4,2,5,1,13,3,2,4,3,4,3,2,0,4,1,0.6,552888,1,13,0
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Company Website,77,828,8346,6582,0,31,10,6,5,0,5,1,2,4,1,13,3,2,4,3,4,3,2,0,2,1,0.6,552888,1,13,0
Research & Development,Life Sciences,Sales Executive,Travel_Rarely,Single,Company Website,57,172,8346,6582,0,36,10,6,5,0,5,4,2,4,1,13,3,2,4,3,4,3,2,0,4,1,0.6,552888,1,13,0
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Company Website,77,828,8346,6582,0,31,10,6,5,0,5,1,2,4,1,13,3,2,4,3,4,3,2,0,2,1,0.6,552888,1,13,0
Research & Development,Life Sciences,Sales Executive,Travel_Rarely,Single,Company Website,57,172,8346,6582,0,36,10,6,5,0,5,4,2,5,1,13,3,2,4,3,4,3,2,0,4,1,0.6,552888,1,13,0
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Company Website,77,828,8346,6582,0,31,10,6,5,0,5,1,2,4,1,13,3,2,4,3,4,3,2,0,2,1,0.6,552888,1,13,0
Sales,Life Sciences,Sales Executive,Travel_Rarely,Single,Company Website,77,828,8346,6582,0,31,10,6,5,0,5,1,2,4,1,13,3,2,4,3,4,3,2,0,2,1,0.6,552888,1,13,0
Research & Development,Life Sciences,Sales Executive,Travel_Rarely,Single,Company Website,57,172,8346,6582,0,36,10,6,5,0,5,4,2,4,1,13,3,2,4,3,4,3,2,0,4,1,0.6,552888,1,13,0
Research & Development,Life Sciences,Sales Executive,Travel_Rarely,Single,Company Website,57,172,8346,6582,0,36,10,6,5,0,5,4,2,5,1,13,3,2,4,3,4,3,2,0,4,1,0.6,552888,1,13,0
Research & Development,Medical,Manufacturing Director,Travel_Rarely,Married,Company Website,56,319,6950,7406,1,42,10,10,9,5,8,3,3,1,1,21,3,4,1,4,2,3,5,0,24,1,1,1026472,0,11,0
Sales,Medical,Manufacturing Director,Travel_Rarely,Married,Company Website,57,383,6950,7406,1,25,10,10,9,5,8,2,3,1,1,21,3,2,1,4,2,3,5,0,9,1,1,1026472,0,9,1
Research & Development,Other,Manufacturing Director,Travel_Rarely,Married,Company Website,56,319,6950,7406,1,42,10,10,9,5,8,3,3,1,1,21,3,4,1,4,2,3,5,0,24,1,1,1026472,0,11,0
Sales,Life Sciences,Manufacturing Director,Travel_Rarely,Married,Company Website,57,383,19293,7406,1,25,10,10,9,5,8,2,3,1,1,21,4,2,1,4,2,3,5,0,9,1,1,1026472,0,9,1
Sales,Medical,Manufacturing Director,Travel_Rarely,Married,Company Website,57,383,20490,7406,1,25,10,10,9,5,8,2,3,1,1,21,4,2,1,4,2,3,5,0,9,1,1,1026472,0,9,1
Research & Development,Medical,Manufacturing Director,Travel_Rarely,Married,Company Website,56,319,6950,7406,1,42,10,10,9,5,8,3,3,1,1,21,4,4,1,4,2,3,5,0,24,1,1,1026472,0,11,0
Research & Development,Other,Manufacturing Director,Travel_Rarely,Married,Company Website,56,319,6950,7406,1,42,10,10,9,5,8,3,3,1,1,21,4,4,1,4,2,3,5,0,24,1,1,1026472,0,11,0
Research & Development,Medical,Manufacturing Director,Travel_Rarely,Married,Company Website,56,319,6950,7406,1,42,10,10,9,5,8,3,3,1,1,21,3,4,1,4,2,3,5,0,24,1,1,1026472,0,11,0
Sales,Life Sciences,Manufacturing Director,Travel_Rarely,Married,Company Website,57,383,6950,7406,1,25,10,10,9,5,8,2,3,1,1,21,3,2,1,4,2,3,5,0,9,1,1,1026472,0,9,1
Sales,Medical,Manufacturing Director,Travel_Rarely,Married,Company Website,57,383,6950,7406,1,25,10,10,9,5,8,2,3,1,1,21,3,2,1,4,2,3,5,0,9,1,1,1026472,0,9,1
Research & Development,Other,Manufacturing Director,Travel_Rarely,Married,Company Website,56,319,6950,7406,1,42,10,10,9,5,8,3,3,1,1,21,3,4,1,4,2,3,5,0,24,1,1,1026472,0,11,0
Sales,Life Sciences,Manufacturing Director,Travel_Rarely,Married,Company Website,57,383,19293,7406,1,25,10,10,9,5,8,2,3,1,1,21,4,2,1,4,2,3,5,0,9,1,1,1026472,0,9,1
Sales,Medical,Manufacturing Director,Travel_Rarely,Married,Company Website,57,383,20490,7406,1,25,10,10,9,5,8,2,3,1,1,21,4,2,1,4,2,3,5,0,9,1,1,1026472,0,9,1
Research & Development,Medical,Manufacturing Director,Travel_Rarely,Married,Company Website,56,319,6950,7406,1,42,10,10,9,5,8,3,3,1,1,21,4,4,1,4,2,3,5,0,24,1,1,1026472,0,11,0
Research & Development,Other,Manufacturing Director,Travel_Rarely,Married,Company Website,56,319,6950,7406,1,42,10,10,9,5,8,3,3,1,1,21,4,4,1,4,2,3,5,0,24,1,1,1026472,0,11,0
Sales,Other,Sales Executive,Travel_Rarely,Married,Seek,61,561,16177,4805,1,45,9,8,7,3,7,3,2,0,0,19,3,4,2,2,4,3,3,0,2,0,0.8889,544887,0,12,0
Research & Development,Life Sciences,Sales Executive,Travel_Rarely,Married,Seek,57,1255,16177,4805,1,56,9,8,7,3,7,2,2,0,0,19,3,2,2,2,4,3,3,0,1,0,0.8889,544887,1,10,0
Research & Development,Life Sciences,Sales Executive,Travel_Rarely,Married,Seek,57,1255,16177,4805,1,56,9,8,7,3,7,2,2,4,0,19,4,2,2,2,4,3,3,0,1,0,0.8889,544887,1,10,0
Sales,Other,Sales Executive,Travel_Rarely,Married,Seek,61,561,16177,4805,1,45,9,8,7,3,7,3,2,0,0,19,3,4,2,2,4,3,3,0,2,0,0.8889,544887,0,12,0
Sales,Life Sciences,Sales Executive,Travel_Rarely,Married,Seek,61,561,16177,4805,1,45,9,8,7,3,7,3,2,4,0,19,3,4,2,2,4,3,3,0,2,0,0.8889,544887,1,12,0
Research & Development,Life Sciences,Sales Executive,Travel_Rarely,Married,Seek,57,1255,16177,4805,1,56,9,8,7,3,7,2,2,0,0,19,3,2,2,2,4,3,3,0,1,0,0.8889,544887,1,10,0
Research & Development,Life Sciences,Research Scientist,Travel_Rarely,Married,Seek,57,1255,22474,2897,2,56,9,8,7,3,7,2,2,2,0,11,3,2,3,3,4,3,3,0,1,0,0.8889,344164,0,12,0
Sales,Other,Sales Executive,Travel_Rarely,Married,Seek,61,561,16177,4805,1,45,9,8,7,3,7,3,2,0,0,19,3,4,2,2,4,3,3,0,2,0,0.8889,544887,0,12,0
Research & Development,Life Sciences,Sales Executive,Travel_Rarely,Married,Seek,57,1255,16177,4805,1,56,9,8,7,3,7,2,2,0,0,19,3,2,2,2,4,3,3,0,1,0,0.8889,544887,1,10,0
Research & Development,Life Sciences,Sales Executive,Travel_Rarely,Married,Seek,57,1255,16177,4805,1,56,9,8,7,3,7,2,2,4,0,19,4,2,2,2,4,3,3,0,1,0,0.8889,544887,1,10,0
Sales,Life Sciences,Sales Executive,Travel_Rarely,Married,Seek,61,561,16177,4805,1,45,9,8,7,3,7,3,2,4,0,19,3,4,2,2,4,3,3,0,2,0,0.8889,544887,1,12,0
Sales,Other,Sales Executive,Travel_Rarely,Married,Seek,61,561,16177,4805,1,45,9,8,7,3,7,3,2,0,0,19,3,4,2,2,4,3,3,0,2,0,0.8889,544887,0,12,0
Research & Development,Life Sciences,Sales Executive,Travel_Rarely,Married,Seek,57,1255,16177,4805,1,56,9,8,7,3,7,2,2,0,0,19,3,2,2,2,4,3,3,0,1,0,0.8889,544887,1,10,0
Research & Development,Life Sciences,Research Scientist,Travel_Rarely,Married,Seek,57,1255,22474,2897,2,56,9,8,7,3,7,2,2,2,0,11,3,2,3,3,4,3,3,0,1,0,0.8889,344164,0,12,0
Human Resources,Life Sciences,Human Resources,Travel_Frequently,Divorced,Seek,58,426,22808,2741,1,26,8,7,7,1,0,4,1,0,1,11,3,2,3,2,2,3,2,1,17,0,0.875,276293,1,9,1
Research & Development,Life Sciences,Human Resources,Travel_Rarely,Divorced,Seek,57,401,22808,2741,1,34,8,7,7,1,0,3,1,0,1,11,3,2,3,2,2,3,2,1,1,0,0.875,276293,1,9,0
Research & Development,Life Sciences,Human Resources,Travel_Rarely,Divorced,Seek,57,401,22808,2741,1,34,8,7,7,1,0,3,1,0,1,11,3,2,3,2,2,3,2,1,1,0,0.875,276293,1,9,0
Human Resources,Medical,Human Resources,Travel_Frequently,Divorced,Seek,58,426,22808,2741,1,26,8,7,7,1,0,4,1,0,1,11,3,2,3,2,2,3,2,1,17,0,0.875,276293,1,9,1
Human Resources,Life Sciences,Human Resources,Travel_Frequently,Divorced,Seek,58,426,21972,2741,1,26,8,7,7,1,0,4,1,0,1,11,3,2,3,2,2,3,2,1,17,0,0.875,276293,1,9,1
Human Resources,Medical,Human Resources,Travel_Frequently,Divorced,Seek,58,426,25103,2741,1,26,8,7,7,1,0,4,1,0,1,11,3,2,3,2,2,3,2,1,17,0,0.875,276293,1,9,1
Research & Development,Life Sciences,Human Resources,Travel_Rarely,Divorced,Seek,57,401,22808,2741,1,34,8,7,7,1,0,3,1,0,1,11,3,2,3,2,2,3,2,1,1,0,0.875,276293,1,9,0
Research & Development,Life Sciences,Human Resources,Travel_Rarely,Divorced,Seek,57,401,22808,2741,1,34,8,7,7,1,0,3,1,0,1,11,3,2,3,2,2,3,2,1,1,0,0.875,276293,1,9,0
Human Resources,Life Sciences,Human Resources,Travel_Frequently,Divorced,Seek,58,426,22808,2741,1,26,8,7,7,1,0,4,1,0,1,11,3,2,3,2,2,3,2,1,17,0,0.875,276293,1,9,1
Research & Development,Life Sciences,Human Resources,Travel_Rarely,Divorced,Seek,57,401,22808,2741,1,34,8,7,7,1,0,3,1,0,1,11,3,2,3,2,2,3,2,1,1,0,0.875,276293,1,9,0
Research & Development,Life Sciences,Human Resources,Travel_Rarely,Divorced,Seek,57,401,22808,2741,1,34,8,7,7,1,0,3,1,0,1,11,3,2,3,2,2,3,2,1,1,0,0.875,276293,1,9,0
Human Resources,Medical,Human Resources,Travel_Frequently,Divorced,Seek,58,426,22808,2741,1,26,8,7,7,1,0,4,1,0,1,11,3,2,3,2,2,3,2,1,17,0,0.875,276293,1,9,1
Human Resources,Life Sciences,Human Resources,Travel_Frequently,Divorced,Seek,58,426,21972,2741,1,26,8,7,7,1,0,4,1,0,1,11,3,2,3,2,2,3,2,1,17,0,0.875,276293,1,9,1
Human Resources,Medical,Human Resources,Travel_Frequently,Divorced,Seek,58,426,25103,2741,1,26,8,7,7,1,0,4,1,0,1,11,3,2,3,2,2,3,2,1,17,0,0.875,276293,1,9,1
Research & Development,Life Sciences,Human Resources,Travel_Rarely,Divorced,Seek,57,401,22808,2741,1,34,8,7,7,1,0,3,1,0,1,11,3,2,3,2,2,3,2,1,1,0,0.875,276293,1,9,0
Research & Development,Life Sciences,Human Resources,Travel_Rarely,Divorced,Seek,57,401,22808,2741,1,34,8,7,7,1,0,3,1,0,1,11,3,2,3,2,2,3,2,1,1,0,0.875,276293,1,9,0
Research & Development,Technical Degree,Manufacturing Director,Travel_Rarely,Divorced,GlassDoor,34,232,22645,4262,2,29,8,3,2,1,2,3,2,4,0,12,3,4,4,2,4,3,2,0,19,0,0.375,225034,0,14,0
Sales,Life Sciences,Manufacturing Director,Travel_Rarely,Divorced,GlassDoor,57,326,22645,4262,2,31,8,3,2,1,2,2,2,4,0,12,4,2,4,2,4,3,2,0,8,0,0.375,225034,0,12,0
Sales,Medical,Manufacturing Director,Travel_Rarely,Divorced,GlassDoor,57,326,22645,4262,2,31,8,3,2,1,2,2,2,1,0,12,4,2,4,2,4,3,2,0,8,0,0.375,225034,0,12,0
Research & Development,Medical,Manufacturing Director,Travel_Rarely,Divorced,GlassDoor,34,232,22645,4262,2,29,8,3,2,1,2,3,2,1,0,12,3,4,4,2,4,3,2,0,19,0,0.375,225034,0,14,0
Research & Development,Technical Degree,Manufacturing Director,Travel_Rarely,Divorced,GlassDoor,34,232,22645,4262,2,29,8,3,2,1,2,3,2,4,0,12,3,4,4,2,4,3,2,0,19,0,0.375,225034,0,14,0
Research & Development,Medical,Manufacturing Director,Travel_Rarely,Divorced,GlassDoor,34,232,22645,4262,2,29,8,3,2,1,2,3,2,1,0,12,3,4,4,2,4,3,2,0,19,0,0.375,225034,0,14,0
Sales,Life Sciences,Manufacturing Director,Travel_Rarely,Divorced,GlassDoor,57,326,22645,4262,2,31,8,3,2,1,2,2,2,4,0,12,3,2,4,2,4,3,2,0,8,0,0.375,225034,0,12,0
Sales,Medical,Manufacturing Director,Travel_Rarely,Divorced,GlassDoor,57,326,22645,4262,2,31,8,3,2,1,2,2,2,1,0,12,3,2,4,2,4,3,2,0,8,0,0.375,225034,0,12,0
Research & Development,Technical Degree,Manufacturing Director,Travel_Rarely,Divorced,GlassDoor,34,232,22645,4262,2,29,8,3,2,1,2,3,2,4,0,12,3,4,4,2,4,3,2,0,19,0,0.375,225034,0,14,0
Sales,Medical,Manufacturing Director,Travel_Rarely,Divorced,GlassDoor,57,326,22645,4262,2,31,8,3,2,1,2,2,2,1,0,12,4,2,4,2,4,3,2,0,8,0,0.375,225034,0,12,0
Research & Development,Medical,Manufacturing Director,Travel_Rarely,Divorced,GlassDoor,34,232,22645,4262,2,29,8,3,2,1,2,3,2,1,0,12,3,4,4,2,4,3,2,0,19,0,0.375,225034,0,14,0
Research & Development,Technical Degree,Manufacturing Director,Travel_Rarely,Divorced,GlassDoor,34,232,22645,4262,2,29,8,3,2,1,2,3,2,4,0,12,3,4,4,2,4,3,2,0,19,0,0.375,225034,0,14,0
Research & Development,Medical,Manufacturing Director,Travel_Rarely,Divorced,GlassDoor,34,232,22645,4262,2,29,8,3,2,1,2,3,2,1,0,12,3,4,4,2,4,3,2,0,19,0,0.375,225034,0,14,0
Sales,Life Sciences,Manufacturing Director,Travel_Rarely,Divorced,GlassDoor,57,326,22645,4262,2,31,8,3,2,1,2,2,2,4,0,12,3,2,4,2,4,3,2,0,8,0,0.375,225034,0,12,0
Sales,Medical,Manufacturing Director,Travel_Rarely,Divorced,GlassDoor,57,326,22645,4262,2,31,8,3,2,1,2,2,2,1,0,12,3,2,4,2,4,3,2,0,8,0,0.375,225034,0,12,0
Research & Development,Medical,Research Director,Travel_Rarely,Divorced,Company Website,95,922,22578,16184,1,33,10,6,1,0,5,5,4,4,0,19,3,1,3,3,3,4,2,1,1,1,0.6,1427429,0,10,0
Research & Development,Life Sciences,Research Director,Non-Travel,Divorced,Company Website,57,592,22578,16184,1,39,10,6,1,0,5,3,4,4,0,19,3,2,3,3,3,4,2,1,2,1,0.6,1427429,1,11,1
Research & Development,Life Sciences,Research Director,Travel_Rarely,Divorced,Company Website,95,922,22578,16184,1,33,10,6,1,0,5,5,4,1,0,19,3,1,3,3,3,4,2,1,1,1,0.6,1427429,1,10,0
Research & Development,Life Sciences,Research Director,Non-Travel,Divorced,Company Website,57,592,22578,16184,1,39,10,6,1,0,5,3,4,1,0,19,4,2,3,3,3,4,2,1,2,1,0.6,1427429,1,11,1
Research & Development,Medical,Research Director,Travel_Rarely,Divorced,Company Website,95,922,22578,16184,1,33,10,6,1,0,5,5,4,4,0,19,3,1,3,3,3,4,2,1,1,1,0.6,1427429,0,10,0
